Pattern ID,Expected Size,Real Size
TrNetPat1,1.0,1
TrNetPat2,1.0,1
TrNetPat6,52.0,52
TrNetPat7,52.0,52
AddTableToDatabaseWithID,52.0,52
TrNetPat3,52.0,110
TrNetPat42,29.0,29
TrNetPat22,29.0,29
TrNetPat8,52.0,52
addIDColumnToDatabase,52.0,140
TrNetPat9,52.0,267
TrNetPat10,576.0,1023
TrNetPat12,52.0,140
TrNetPat43,48.0,48
TrNetPat44,48.0,48
TrNetPat11,52.0,48
TrNetPat45,48.0,48
integerType,1.0,0
TrNetPat4,48.0,48
TrNetPat46,48.0,48
TrNetPat47,100.0,100
TrNetPat24,100.0,100
TrNetPat25,48.0,48
TrNetPat26,24.0,20
TrNetPat28,24.0,28
TrNetPat27,24.0,48
TrNetPat31,24.0,28
TrNetPat30,576.0,784
TrNetPat48,52.0,52
TrNetPat33,52.0,52
TrNetPat34,52.0,52
TrNetPat35,26.0,22
addIntegerColumnToDatabase,576.0,975
TrNetPat37,26.0,30
TrNetPat38,26.0,30
TrNetPat39,26.0,30
AddTableToDatabase,52.0,110
TrNetPat29,24.0,28
TrNetPat14,13824.0,16657
TrNetPat18,24.0,19
TrNetPat32,24.0,19
TrNetPat16,13824.0,16657
TrNetPat15,13824.0,16657
TrNetPat5,13824.0,16657
TrNetPat17,13824.0,16657
TrNetPat23,29.0,29
TrNetPat13,29.0,29
TrNetPat36,26.0,16
TrNetPat19,26.0,16
TrNetPat40,26.0,23
TrNetPat41,26.0,23
TrNetPat20,26.0,23
TrNetPat21,26.0,23
